autor_tweet,id_tweet,texto_tweet,Numero_pasados,Numero_presentes,Numero_futuros,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Analisis_sentimiento,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion
1397629656887488516,_abeniaadriana,"Llanes. Qué alegría volver a pasearte. Palacios de película, preciosas playas, pastelerías riquísimas y gente súper amable ♥️
(En la última foto se grabó El Orfanato) en Llanes https://t.co/Pet8cQP4BV",1,0,0,2,0,1,0,2,1,1,2,0,0,0,0,0,0,0,4,5,9,4,1,0,5,4,4,5,2,0,0,0,0,2,0,0,0,0,0,0,,1,0,1,5.5,2,5.107142857142857,5,4,8,6
1397629962274983938,_mantekamartinez,"🕊️💒📿🙏💐""Camina siempre bajo la mirada del Buen Pastor, y evitarás pastizales envenenados""💐🙏📿⛪🕊️

🕯️Padre Pio, ruega por nosotros🔥 en Xixón. Asturies https://t.co/9QMqUbHlHE",0,2,1,0,0,3,0,4,1,1,2,0,1,2,0,0,0,0,8,3,11,2,0,0,2,9,9,5,1,1,0,0,0,1,0,0,0,0,0,0,,12,0,1,5.5,3,6.2,4,3,2,5
1397630052074938374,_irenemv15,"dónde has tirado las promesas que dijimos... en Madrid, Spain https://t.co/h5eeifLuDP",1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,1,3,0,1,0,1,2,2,1,2,0,0,0,0,0,1,1,0,0,0,0,,0,0,1,5.0,3,4.8,2,2,1,4
1397630057401798656,_AndyWarrol,"Niños jugando con perrito muy quietos en Olvera, Spain https://t.co/eMuEt62yHF",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,0,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,5,7,5,3,3,0,1
1397630674857861121,_elenajuanes95,💜 en Valencia https://t.co/GSD5Wiaqwn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,2,1,3.6666666666666665,1,1,0,0
1397630719804026882,_Richard_ARINAGA,"La cabeza no para de dar vueltas....

Siempre inventando! 😉 en Playa de Arinaga https://t.co/p9ZEpuFvqr",1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,2,2,4,1,1,0,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,3.5,2,4.285714285714286,2,2,0,5
1397631372366393353,_justaneasyguy,"Disfrutando del paraíso 

#tuyyo #gaycouple #fuerteventura #paraíso en Playa Del Mal Nombre https://t.co/PwVc5KzLhv",0,0,0,0,1,0,0,2,2,0,2,0,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1,5,3,5.222222222222222,0,0,2,0
1397631397741871107,_mantekamartinez,"💐""¿Te quieres casar conmigo?
No puedo...En mi familia
nos casamos entre nosotros...
Mi abuelo se casó con mi abuela, 
mi tío se ha casado con mi tía 
y mi papá se ha casado con mi mamá""❤️ https://t.co/uxepW86syv",1,5,0,1,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,6,1,4,3,0,0,5,7,1,0,2,0,7,0,0,0,0,0,0,,2,0,2,3,2,3.8857142857142857,3,3,5,8
1397631474669608965,_LuisNembra,"Insistir, persistir, resistir y nunca desistir 💪🏼😉 en Avilés https://t.co/gDV56PpyVY",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,1,6,8,5.555555555555555,3,2,1,2
1397632007128104960,_VizDv92,Si pruebas de su manzana te enganchará su veneno 💕 en Madrid Centro https://t.co/GFpe40pTRd,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,3,5,2,1,1,2,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,,1,0,1,2,2,4.230769230769231,1,1,1,0
1397632073519796230,_Milanlomo,No hay corrupción en la naturaleza... hay belleza. en Parque Del Oeste San Fernando https://t.co/RsEy7UuSPJ,0,2,0,0,0,2,0,2,1,1,2,0,1,0,0,0,0,0,4,3,7,3,0,0,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,3.0,2,4.714285714285714,2,1,1,4
1397632144990683139,_DavidMusicBand,"El patio de los Naranjos,  y en la basílica de la encarnación ¡! La #manquita ¡! #Catedral en Málaga, Spain https://t.co/qX4HN8DxjX",0,0,0,0,0,0,0,5,2,3,4,0,0,0,0,0,0,0,2,3,5,3,0,1,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1,2.0,2,3.611111111111111,3,2,3,6
1397632250146082816,_cadipsonians,"Escuchando las #premezclas del inminente #Güenahente , @cadipsonians 

#NuevoDisco #Guenahente 
#calipso #CallejónDelArte #BahiadeCadiz 
#merenguedelabahia #OldSka 
#Cádiz #preescucha en Bahía de Cádiz https://t.co/HBDWMTHsf0",0,3,0,0,1,3,0,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,8,1,5.0,5,6.833333333333333,1,1,4,1
1397632397752127494,_CCVenecia,"Para cubrir perfectamente las canas, renovar tu look cambiando el color del cabello o crear hermosos reflejos, BioKap tiene una solución natural: Nutricolor.
https://t.co/Bxm3vFAvJp https://t.co/ZDiQL0hpJH",0,1,0,3,1,1,0,4,2,2,4,0,1,0,0,0,0,0,2,6,8,4,2,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,5,5,5.695652173913044,4,2,1,4
1397632582473355265,_Jahuma79,"Ruta de los acantilados, Oviñana #shotoniphone #asturiasparaisonatural en Cabo Vidio https://t.co/9RFyC51uvu",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1,4.0,4,4.75,1,1,0,1
1397632723376824326,_Jahuma79,Ruta de los acantilados en Oviñana https://t.co/ZFpZdMRjoT,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,3,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,3.5,2,4.833333333333333,1,1,0,0
1397632823855562753,_manelok,"Carrera de la muerte: 
HIIT al límite. en Parque Madrid Río https://t.co/p30XwteuLH",0,1,0,0,0,1,0,2,1,1,2,0,1,0,0,0,0,0,4,2,6,2,0,1,1,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,4,2,4.181818181818182,1,1,2,2
1397632957662343171,_mantekamartinez,"🕊️💒📿🙏💐El SEÑOR...
Es quien va delante de ti.
Él estará contigo;
no te dejará
ni te desamparará
¡No temas, ni te atemorices!💐🙏📿⛪🕊️ en Xixón. Asturies https://t.co/cFnFv1Syzq",0,3,3,0,0,5,1,1,1,0,1,0,0,0,0,0,0,0,5,3,8,1,2,2,0,6,5,3,7,1,0,7,0,6,1,0,0,0,0,0,,10,0,1,3,2,4.64,4,3,5,9
1397633028273295363,_Jahuma79,Ruta de los acantilados #shotoniphone #asturiasparaisonatural en Cabo Vidio https://t.co/MMwKlc1ZrB,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1,4,4,4.428571428571429,0,0,0,0
1397633260147073024,_DayliCollazo,"Ve con confianza en la dirección de tus sueños. 
.
.
.
Pd..No me puede gustar más este estampado de @icr_express
#cricutcreations #creando #cricutjoy #box #cajaspersonalizadas #gift #etsy #forsale en Galicia, Spain https://t.co/T1BzRz9yND",0,3,0,0,1,3,0,2,1,1,2,0,0,0,0,0,0,0,1,5,6,3,2,2,3,1,1,5,1,0,0,1,0,1,0,0,0,0,0,0,,0,8,2,3.5,2,4.7,1,1,2,5
1397633982876033025,_alextomeo3,🧡🚀 en Valladolid https://t.co/aiaszqRKgs,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,1,2,2,4.666666666666667,1,1,0,0
1397634180050264073,_duendenocturno,"#XLYreto14. ¡10 días! en Coslada, Madrid, Spain https://t.co/TNX5LMj1Wu",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,4,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,5,9,5.142857142857143,3,2,1,5
1397634599946162182,_eltapoenlacasa,"Candela es lo que hay presentacion TV🔥🔥🔥🔥🔥😬😬😬 ZDF Alemania valeman @peterwackel_official @wittymartin Tapo &amp; Raya en Palma De Mallorca, Spain https://t.co/47HpnVngTo",0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,12,4,16,1,0,1,0,15,15,2,2,1,0,1,0,1,1,0,0,0,0,0,,8,0,1,4.5,2,6.1,4,1,0,2
1397634630770122754,_jimbo2991,Ya queda poco para que vuelva el veranu y el Panxut 👍🏻 en Santa Coloma de Farnés https://t.co/rqkGdoQBAv,0,3,0,0,0,2,1,2,2,0,2,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,1,4,2,3.764705882352941,4,2,1,0
1397634744448430082,_jgborbolla,Casi año y medio viviendo en esta ciudad y no sabia que tenía tanta belleza #aranjuez en Palacio Real de Aranjuez https://t.co/mJmzMrVlkN,1,1,0,0,1,2,0,3,0,2,2,0,0,1,0,0,0,0,0,3,3,3,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,4.0,5,4.2,1,1,1,0
1397634781651816475,_Tauromaquias_es,"Pablo Aguado para el tiempo en Vistalegre bajo el objetivo de @andrewmoore100 🙌🏼❤️
.
.
#tauromaquia #torero #madrid #veronica en Palacio de Vistalegre https://t.co/ESrs6EjyoU",0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,4,2,6,2,0,2,0,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,,3,4,1,4,2,5.352941176470588,1,1,0,2
1397634873343479810,_Acostajoche,"Porque hay estrellas que brillan pero no se ven...
#buendia #FelizMiércoles en Puerto Sherry, El Puerto de Santa María https://t.co/ejDOB1FWOR",0,3,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,3,1,4,0,1,0,0,4,3,2,3,0,0,0,0,2,1,0,0,0,0,0,,0,1,1,4.5,2,4.833333333333333,1,1,2,4
1397635015282933770,_Tonino_conesa,"Mi primera polla, quién prueba repite !!! 
🌈🌈🌈 en La Pollería Chueca https://t.co/WjdUi6z3Rq",1,2,0,0,0,3,0,1,0,1,2,0,0,0,0,0,0,0,5,1,6,1,0,0,1,5,5,1,2,0,0,1,0,1,1,0,0,0,0,0,,3,0,1,5,2,4.7272727272727275,1,1,2,4
1397635167615860743,_Pedroclamavi,Urban art. en Auditorio Alfredo Kraus https://t.co/A9jh7PZ480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,5.0,5,5.166666666666667,3,2,0,1
1397635198913859590,_Ronny2101,"Una caminata por mi #Astorga 👨‍👩‍👧‍👦💫 ❤
#maragato #castillayleon #astorga #familia #love en Astorga, Castilla y León, Spain https://t.co/vexRYOjbtx",0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,3,4,7,2,0,0,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,,6,6,1,3.5,8,4.333333333333333,2,2,1,2
1397635511305576448,_naritete,"Miércoles de biblioteca y cuenta cuentos y hoy del @festivalteresetes!!
.
.
.
.
.
.
#mini #miniyo #54meses #lagranoyaquevoliavolar #conlia #conjuan #amiguitos #risas #bibliotecanoullevant https://t.co/XsX9ICcbo7",0,1,0,1,0,1,0,2,1,0,1,0,1,1,0,0,0,0,0,4,4,1,1,1,1,2,2,4,1,0,0,0,0,1,0,0,0,0,0,0,,0,8,1,6,1,6.090909090909091,1,1,1,8
1397635544348340228,_MGamonales,"La juventud es el momento de estudiar la sabiduría; la vejez, el de practicarla (Jean Jacques Rousseau). en Pantano De Alcántara https://t.co/Y4KWMHkTsG",0,1,0,1,0,1,0,5,2,3,5,0,0,0,0,0,0,0,5,4,9,4,0,1,3,5,5,4,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,4,2,4.904761904761905,2,1,2,5
1397635584307437568,_salesianbadajoz,"Se ha renovado la Sala de Juntas.
Esperamos poder tener pronto reuniones presenciales menos estrictas.
#SalesianosBadajoz en Colegio Salesiano ""Ramón Izquierdo"" https://t.co/uZAwNHyBlo",0,2,0,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,4,1,5,0,1,0,1,4,4,3,1,0,0,0,0,1,0,0,0,0,0,0,,0,1,1,6.0,2,6,0,0,1,4
1397636093764378629,_SteveTelleria,#yuca #conlatardequehace #parasonia #carrotcake en Malasaña Madrid https://t.co/2Z7wlEZa4A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,1,6,2,5.333333333333333,0,0,0,0
1397636256205529090,_arantxeitor,"El amor no se busca, te encuentra!
.
.
.
#love #loveyou #smile #lifestyle #atmellademar en RVHotels Ametlla Mar https://t.co/F52Fcf5aO0",0,2,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,,0,5,1,3,2,4.181818181818182,0,0,0,5
1397636474506551307,_davidrev12,"Tras mucho tiempo vuelvo a pisar el templo. Qué ganas de verlo lleno, animando al equipo de mis amores.💛💙 en Estadio Ramón de Carranza https://t.co/KFjxqPEHhr",0,1,0,1,1,1,0,4,3,0,3,0,1,1,0,0,0,0,3,5,8,3,2,4,1,3,3,7,1,0,0,0,0,1,0,0,0,0,0,0,,2,0,1,5.0,5,4.5,0,0,2,3
1397637152939335683,_dennysinhu,Con @yakirlevizurich en Prima’s Bar https://t.co/QOZBhaeOWP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,3,6.2,0,0,0,0
1397637527599607808,_onijiabukara,Con los #agapornis de @abe.wrld uno se siente como en #PalmitosPark jajaa en Las Palmas de Gran Canaria https://t.co/G7r7hQtrIJ,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1,0,2,0,1,0,0,0,0,,0,2,2,3,2,3.6,1,1,0,0
1397637993448439809,_ElMesonet,Tarta de queso mascarpone con frutos rojos del bosque. en El Mesonet https://t.co/HUiclSbLsA,0,1,0,0,0,1,0,2,2,0,2,0,1,0,0,0,0,0,2,3,5,2,1,3,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,5.0,5,4.666666666666667,2,1,0,1
1397638265147166720,_taniaserrano,"Tarde en #atlantisxanadu ,aprovechando la tarde 😍😍 en Atlantis Aquarium Madrid https://t.co/ijUPscgrkm",0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,3,2,5,2,0,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,5.0,2,5.2,3,2,0,1
1397638516826325000,_maillo,"Rodaje suave + gym, seguimos adelante.
#hidratatebien💦💦 #atletismoenruta @victorgarciablazquez @clubadasbarco en Vía Verde del Aceite (Lucena) https://t.co/VzYO5NhWUO",0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,6,2,8,1,0,1,0,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,1,5,6,6.2,1,1,1,4
1397638987767066625,_Mr_Anthony9,Mucho gusto soy el que siempre has esperao. en VALDEPEÑAS https://t.co/LB65TR7IWa,0,2,0,0,0,2,0,3,2,0,2,0,0,1,0,0,0,0,1,1,2,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,1,4.0,3,4.7,1,1,0,1
1397639109666131972,_chaches64,Directo en facebook!!! en Lleida Cataluña https://t.co/1Wmd0b74HP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,6.5,2,5.5,2,2,0,3
1397639154171793409,_coro72,"Estrenando el nuevo parque de Calistenia!
#OCR #calistenia #labajadilla #marbella #gas #finou #fotlifit en Marbella, Málaga, Spain https://t.co/K7AWXIQCy4",0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,1,4,1,0,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,7,1,5.5,2,5.6,2,2,1,3
1397639527158620162,_pablosolera1,"No te distraigas con cosas que no puedes controlar 🌅 en Les Rotes, Dénia https://t.co/i3yQTMJBWU",0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,1,2,2,2,4,0,0,1,0,3,1,0,0,0,0,0,,1,0,1,3.0,2,4.142857142857143,2,2,1,1
1397639642053320704,_martincarames,"Pollo Frito Coreano. en Madrid, Spain https://t.co/SWix1OZDM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,5.0,5,5,2,2,0,2
1397639693546803205,_jcgf_31,Madre mía que primera parte... que ritmo que intensidad de partido. Partidazo @manchesterunited vs @villarrealcf  #europaleague #villarealcf #manchesterunited #fútbol en Guadix https://t.co/An8yO1EJPh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,4,0,2,2,5,5,3,2,0,0,0,0,0,2,0,0,0,0,0,,0,3,1,5.0,3,6,2,2,2,4
1397639830989910039,_vaneheres26,"Qué gusto poder volver!!#MonteIgueldo #Donostia #PaisVasco en Igueldo, Pais Vasco, Spain https://t.co/orLRFawgWl",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1,5,5,4.666666666666667,2,1,1,4
1397639888246345729,_AdrielCiclista,"Vamos!!!!!!!!!!!! en Torrente, Valenciana, Spain https://t.co/GN0AAoQJRo",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,5,5,6,3,2,0,14
1397640091884007424,_NikTanaskovic,"Cuantos recuerdos….Descanse en paz Cristóbal Halffter. en Villafranca del Bierzo, Spain https://t.co/XrYowogmAy",0,0,0,1,0,0,0,2,2,0,1,0,1,0,0,0,0,0,5,2,7,1,1,1,1,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,6,2,6.7272727272727275,5,3,1,3
1397640160947343362,_caarmenruiz_,🦋 en El Retiro - Jardines del Buen Retiro de Madrid https://t.co/QdycgSz7WY,0,0,0,0,0,0,0,2,2,0,2,0,1,0,0,0,0,0,5,1,6,1,0,0,1,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,3,2,3.727272727272727,1,1,0,1
1397640167448453120,_EUROPEDIRECTLSP,Conferencia sobre el Futuro de Europa: pleno inaugural y evento ciudadano en junio https://t.co/nRIYyCMKEI en En La Playa de Las Canteras https://t.co/qf191l0ZI4,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0,5,2,7,1,0,1,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,5.0,2,4.65,3,3,0,1
1397640292803747844,_Misslareta,".
El ramo, los ramos.
.
.
@rentalmodecastellon  
@rentalmodevalencia 
@grupopenalen 
@photographer.vini  
@j_arques 
@rgpeluqueros 
@misslareta en Alqueria de Mascaros https://t.co/pB0ZqsQXgg",0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,4,5,9,3,2,4,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,8.0,2,8.428571428571429,3,3,0,5
1397640863908511747,_Alvariito_22,"~ En todo mi proceso me prohibí el alcohol, reemplacé toda ocasión de inhibición por el control, así me aseguraba que cada misión lograda la ejecutaba yo, y no mi versión drogada ~ 🔐 en Calera y Chozas, Spain https://t.co/i5tm8R794F",4,0,0,0,0,3,1,4,3,1,7,0,0,0,0,0,0,0,3,7,10,7,0,3,4,3,3,4,4,0,1,4,0,4,0,0,0,0,0,0,,1,0,1,4,2,4.4324324324324325,4,3,7,4
1397641654455181314,_enolgb,"Tirando de archivo...
Na, ye mentira. en Les Tejeres https://t.co/kSq61a8Cj4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,0,1,1,3,3,2,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,3,7,4.333333333333333,2,1,0,5
1397642357495959553,_DeportesSinAdje,"Acabamos de participar en un partido de exhibición durante el descanso del encuentro entre el @fundlucentum y el Tau Castellón 💙🤍 Ha sido cortito, pero lo hemos disfrutado al 100% 🏀🏀🏀 en HLA Alicante https://t.co/g6DHCd6cYI",0,3,0,1,0,3,0,8,7,0,7,0,2,1,0,0,0,0,7,6,13,4,0,3,1,9,9,8,1,1,0,1,0,1,0,0,0,0,0,0,,5,0,1,3.0,2,4.823529411764706,4,3,2,1
1397642407110393856,_Ronny2101,"Con #ella 💫
Mi universo 😍 en Astorga, Castilla y León, Spain https://t.co/0SwkOANZEg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,6,1,0,1,0,5,5,3,1,0,1,1,0,1,0,0,0,0,0,0,,2,1,1,3,1,3.8181818181818183,4,3,1,2
